# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.000000000000e+14       7.559809314984e-26       4.636603989638e-09       2.157173308870e+22       1.415138110617e+04       1.415138110617e-10       1.415138110617e+18       2.676420419331e-09       2.751479771419e+44       2.488912738110e+33       1.335734610054e+34       6.329081912896e+43       2.109693970965e+43       3.456313266176e-08       1.269008721634e+44       4.653396684501e+44       4.653396684501e+44       1.551132228114e+44      -1.338424416406e+53       5.462683245168e-06       2.000000000000e+00 
       9.893085837570e+13       7.724089334068e-26       4.685716703534e-09       2.111293412038e+22       1.415138110617e+04       1.430431448641e-10       1.400008280035e+18       2.705344383538e-09       2.635684565162e+44       2.409933186015e+33       1.293348342507e+34       6.062724386616e+43       2.020908128872e+43       3.456313266176e-08       1.215602867740e+44       4.457559871717e+44       4.457559871717e+44       1.485853290521e+44      -1.268389788601e+53       5.580119792091e-06       1.957908951181e+00 
       9.787314738953e+13       7.891939257366e-26       4.736648406833e-09       2.066389312990e+22       1.415138110617e+04       1.445890061126e-10       1.385040208770e+18       2.734580926803e-09       2.524762565653e+44       2.333459856639e+33       1.252307099385e+34       5.807576437456e+43       1.935858812485e+43       3.456313266176e-08       1.164444583293e+44       4.269964792840e+44       4.269964792840e+44       1.423321597564e+44      -1.202019804859e+53       5.697556339002e-06       1.917553041712e+00 
       9.682674483178e+13       8.063436668108e-26       4.787580110133e-09       2.022440257945e+22       1.415138110617e+04       1.461515734186e-10       1.370232167384e+18       2.764133427726e-09       2.418508685440e+44       2.259413221140e+33       1.212568199632e+34       5.563166313705e+43       1.854388771235e+43       3.456313266176e-08       1.115439280001e+44       4.090264596956e+44       4.090264596956e+44       1.363421532271e+44      -1.139122708381e+53       5.814992885905e-06       1.878827146122e+00 
       9.579152979933e+13       8.238660842247e-26       4.838511813432e-09       1.979425934524e+22       1.415138110617e+04       1.477310273238e-10       1.355582444933e+18       2.794005301431e-09       2.316726468112e+44       2.187716274329e+33       1.174090316569e+34       5.329042117179e+43       1.776347372393e+43       3.456313266176e-08       1.068496350296e+44       3.918127030265e+44       3.918127030265e+44       1.306042343375e+44      -1.079516776266e+53       5.932429432810e-06       1.841634462244e+00 
       9.476738268169e+13       8.417692760898e-26       4.891262506135e-09       1.937326462363e+22       1.415138110617e+04       1.493275503208e-10       1.341089348763e+18       2.824199999182e-09       2.219227725071e+44       2.118294454587e+33       1.136833434918e+34       5.104770967696e+43       1.701590322565e+43       3.456313266176e-08       1.023528999798e+44       3.753233821774e+44       3.753233821774e+44       1.251077940546e+44      -1.023029794477e+53       6.049865979712e-06       1.805885704713e+00 
       9.375418514718e+13       8.600615168628e-26       4.944013198838e-09       1.896122383926e+22       1.415138110617e+04       1.509413268747e-10       1.326751204316e+18       2.854721009726e-09       2.125832187576e+44       2.051075566329e+33       1.100758809191e+34       4.889938202708e+43       1.629979400903e+43       3.456313266176e-08       9.804540868467e+43       3.595280094824e+44       3.595280094824e+44       1.198426698231e+44      -9.694985602800e+52       6.167302526613e-06       1.771498388655e+00 
       9.275182012925e+13       8.787512610121e-26       4.998582880944e-09       1.855794655506e+22       1.415138110617e+04       1.525725434439e-10       1.312566354940e+18       2.885571859569e-09       2.036367173446e+44       1.985989704916e+33       1.065828923389e+34       4.684146610616e+43       1.561382203539e+43       3.456313266176e-08       9.391919687705e+43       3.443973803404e+44       3.443973803404e+44       1.147991267759e+44      -9.187684107142e+52       6.284739073515e-06       1.738396194401e+00 
       9.176017181296e+13       8.978471473007e-26       5.051333573647e-09       1.816324638431e+22       1.415138110617e+04       1.542213885019e-10       1.298533161693e+18       2.916756113350e-09       1.950667267775e+44       1.922969183965e+33       1.032007451993e+34       4.487015696352e+43       1.495671898784e+43       3.456313266176e-08       8.996663546377e+43       3.299035192170e+44       3.299035192170e+44       1.099678397349e+44      -8.706927757402e+52       6.402175620416e-06       1.706508402067e+00 
       9.077912562158e+13       9.173580012779e-26       5.105903255753e-09       1.777694090444e+22       1.415138110617e+04       1.558880525591e-10       1.284650003156e+18       2.948277374103e-09       1.868574017097e+44       1.861948464951e+33       9.992592221859e+33       4.298180977872e+43       1.432726992624e+43       3.456313266176e-08       8.618041641973e+43       3.160196279200e+44       3.160196279200e+44       1.053398759694e+44      -8.251327547677e+52       6.519612167312e-06       1.675769387306e+00 
       8.980856820338e+13       9.372928398382e-26       5.162291927263e-09       1.739885157276e+22       1.415138110617e+04       1.575727281847e-10       1.270915275245e+18       2.980139283778e-09       1.789935636409e+44       1.802864089058e+33       9.675501772740e+33       4.117293312247e+43       1.372431104082e+43       3.456313266176e-08       8.255353927589e+43       3.027200360508e+44       3.027200360508e+44       1.009066786798e+44      -7.819567153429e+52       6.637048714205e-06       1.646118170433e+00 
       8.884838741853e+13       9.576608763370e-26       5.216861609370e-09       1.702880364389e+22       1.415138110617e+04       1.592756100289e-10       1.257327391028e+18       3.012345523747e-09       1.714606728540e+44       1.745654611176e+33       9.368473412685e+33       3.944018250127e+43       1.314672750042e+43       3.456313266176e-08       7.907929817586e+43       2.899801535422e+44       2.899801535422e+44       9.666005117705e+43      -7.410399128343e+52       6.754485261093e-06       1.617498012609e+00 
       8.789847232612e+13       9.784715248458e-26       5.273250280879e-09       1.666662608906e+22       1.415138110617e+04       1.609968948455e-10       1.243884780537e+18       3.044899815213e-09       1.642448015311e+44       1.690260536007e+33       9.071187845933e+33       3.778035417361e+43       1.259345139120e+43       3.456313266176e-08       7.575126947723e+43       2.777764251927e+44       2.777764251927e+44       9.259214172730e+43      -7.022641300199e+52       6.871921807976e-06       1.589856053482e+00 
       8.695871317136e+13       9.997344034295e-26       5.331457941793e-09       1.631215151702e+22       1.415138110617e+04       1.627367815147e-10       1.230585890590e+18       3.077805919538e-09       1.573326080025e+44       1.636624256192e+33       8.783335908793e+33       3.619037922651e+43       1.206345974217e+43       3.456313266176e-08       7.256329987465e+43       2.660862871141e+44       2.660862871141e+44       8.869542903455e+43      -6.655173355324e+52       6.989358354855e-06       1.563142985411e+00 
       8.602900137289e+13       1.021459339078e-25       5.387846613303e-09       1.596521609666e+22       1.415138110617e+04       1.644954710660e-10       1.217429184611e+18       3.111067638721e-09       1.507113120788e+44       1.584689992398e+33       8.504618248125e+33       3.466731790125e+43       1.155577263375e+43       3.456313266176e-08       6.950949502280e+43       2.548881250129e+44       2.548881250129e+44       8.496270833427e+43      -6.306933601771e+52       7.106794901728e-06       1.537312759907e+00 
       8.510922951025e+13       1.043656372587e-25       5.446054274216e-09       1.562565948134e+22       1.415138110617e+04       1.662731667012e-10       1.204413142452e+18       3.144688815873e-09       1.443686714209e+44       1.534403735314e+33       8.234745010029e+33       3.320835415801e+43       1.106945138600e+43       3.456313266176e-08       6.658420863813e+43       2.441612342268e+44       2.441612342268e+44       8.138707807234e+43      -5.976915901872e+52       7.224231448597e-06       1.512322322709e+00 
       8.419929131143e+13       1.066335763339e-25       5.506080924533e-09       1.529332473476e+22       1.415138110617e+04       1.680700738184e-10       1.191536260217e+18       3.178673335673e-09       1.382929589050e+44       1.485713189482e+33       7.973435538408e+33       3.181079046913e+43       1.060359682304e+43       3.456313266176e-08       6.378203205924e+43       2.338857814429e+44       2.338857814429e+44       7.796192714447e+43      -5.664166765291e+52       7.341667995459e-06       1.488131374309e+00 
       8.329908164066e+13       1.089507992633e-25       5.564288585447e-09       1.496805825842e+22       1.415138110617e+04       1.698864000352e-10       1.178797050091e+18       3.213025124684e-09       1.324729409399e+44       1.438567718911e+33       7.720418083101e+33       3.047204283164e+43       1.015734761055e+43       3.456313266176e-08       6.109778424665e+43       2.240427680273e+44       2.240427680273e+44       7.468092267272e+43      -5.367782594194e+52       7.459104542314e-06       1.464702153154e+00 
       8.240849648618e+13       1.113183770571e-25       5.626134225167e-09       1.464970972061e+22       1.415138110617e+04       1.717223552130e-10       1.166194040162e+18       3.247748152008e-09       1.268978566965e+44       1.392918294423e+33       7.475429517271e+33       2.918963598953e+43       9.729878663178e+42       3.456313266176e-08       5.852650220336e+43       2.146139948982e+44       2.146139948982e+44       7.153799829646e+43      -5.086907072562e+52       7.576541089168e-06       1.441999238858e+00 
       8.152743294829e+13       1.137374039737e-25       5.686160875484e-09       1.433813198700e+22       1.415138110617e+04       1.735781514812e-10       1.153725774259e+18       3.282846429608e-09       1.215573982121e+44       1.348717442656e+33       7.238215063767e+33       2.796119885723e+43       9.320399619077e+42       3.456313266176e-08       5.606343179863e+43       2.055820288766e+44       2.055820288766e+44       6.852734295599e+43      -4.820728692118e+52       7.693977636021e-06       1.419989373603e+00 
       8.065578922741e+13       1.162089980541e-25       5.748006515205e-09       1.403318105254e+22       1.415138110617e+04       1.754540032615e-10       1.141390811776e+18       3.318324012822e-09       1.164416913316e+44       1.305919196702e+33       7.008528030169e+33       2.678446013557e+43       8.928153378525e+42       3.456313266176e-08       5.370401897791e+43       1.969301704534e+44       1.969301704534e+44       6.564339014838e+43      -4.568478407706e+52       7.811414182874e-06       1.398641299539e+00 
       7.979346461238e+13       1.187343016294e-25       5.809852154925e-09       1.373471597500e+22       1.415138110617e+04       1.773501272932e-10       1.129187727511e+18       3.354185000794e-09       1.115412774508e+44       1.264479048300e+33       6.786129552236e+33       2.565724411236e+43       8.552414704119e+42       3.456313266176e-08       5.144390134267e+43       1.886424229139e+44       1.886424229139e+44       6.288080763527e+43      -4.329427415363e+52       7.928850729729e-06       1.377925610716e+00 
       7.894035946874e+13       1.213144818458e-25       5.871697794646e-09       1.344259880975e+22       1.415138110617e+04       1.792667426574e-10       1.117115111500e+18       3.390433536966e-09       1.068470960278e+44       1.224353901549e+33       6.570788345497e+33       2.457746663958e+43       8.192488879858e+42       3.456313266176e-08       4.927890008460e+43       1.807034627598e+44       1.807034627598e+44       6.023448758400e+43      -4.102885046644e+52       8.046287276585e-06       1.357814617910e+00 
       7.809637522728e+13       1.239507311978e-25       5.935362423770e-09       1.315669454605e+22       1.415138110617e+04       1.812040708033e-10       1.105171568852e+18       3.427073809543e-09       1.023504678312e+44       1.185502028090e+33       6.362280464731e+33       2.354313127997e+43       7.847710426656e+42       3.456313266176e-08       4.720501225932e+43       1.730986113781e+44       1.730986113781e+44       5.769953712350e+43      -3.888196773144e+52       8.163723823441e-06       1.338282225163e+00 
       7.726141437266e+13       1.266442681188e-25       6.000846042298e-09       1.287687104465e+22       1.415138110617e+04       1.831623355730e-10       1.093355719589e+18       3.464110052009e-09       9.804307889229e+43       1.147883023715e+33       6.160389071067e+33       2.255232561575e+43       7.517441871915e+42       3.456313266176e-08       4.521840338516e+43       1.658138079005e+44       1.658138079005e+44       5.527126929773e+43      -3.684742315423e+52       8.281160370298e-06       1.319303816799e+00 
       7.643538043208e+13       1.293963374863e-25       6.064510671422e-09       1.260299897669e+22       1.415138110617e+04       1.851417632276e-10       1.081666198489e+18       3.501546543579e-09       9.391696513329e+43       1.111457766340e+33       5.964904206487e+33       2.160321771265e+43       7.201072570883e+42       3.456313266176e-08       4.331540035348e+43       1.588355832065e+44       1.588355832065e+44       5.294519439981e+43      -3.491933850892e+52       8.398596917155e-06       1.300856153933e+00 
       7.561817796419e+13       1.322082112626e-25       6.129994289950e-09       1.233495176396e+22       1.415138110617e+04       1.871425824736e-10       1.070101654925e+18       3.539387609736e-09       8.996449764228e+43       1.076188375327e+33       5.775622575475e+33       2.069405273283e+43       6.898017577609e+42       3.456313266176e-08       4.149248463730e+43       1.521510350193e+44       1.521510350193e+44       5.071701167080e+43      -3.309214315467e+52       8.516033464012e-06       1.282917279540e+00 
