# Matter power spectrum P(k) at redshift z=0
# for k=1.04191e-05 to 105.491 h/Mpc,
# number of wavenumbers equal to 622
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.041908238072e-05       4.834314104593e+01 
       2.329572348464e-05       1.051752026861e+02 
       3.621754458150e-05       1.610800889349e+02 
       4.921928940620e-05       2.166326524779e+02 
       6.233627533281e-05       2.721640292962e+02 
       7.560470807967e-05       3.279248936739e+02 
       8.906200646242e-05       3.841312750118e+02 
       1.027471415118e-04       4.409833406427e+02 
       1.167009943063e-04       4.986751030614e+02 
       1.309667369033e-04       5.574002358526e+02 
       1.455902407580e-04       6.173563877610e+02 
       1.606205169619e-04       6.787482356151e+02 
       1.761101924539e-04       7.417903694569e+02 
       1.921160259885e-04       8.067098343196e+02 
       2.086994669931e-04       8.737486685816e+02 
       2.259272593700e-04       9.431661487017e+02 
       2.438720906428e-04       1.015241608445e+03 
       2.626132843830e-04       1.090276630012e+03 
       2.822375303123e-04       1.168597729577e+03 
       3.028396415366e-04       1.250558628562e+03 
       3.245233216393e-04       1.336542945990e+03 
       3.474019154547e-04       1.426966026662e+03 
       3.715991058704e-04       1.522276831223e+03 
       3.972495047204e-04       1.622959050461e+03 
       4.244990687473e-04       1.729531382421e+03 
       4.535052522550e-04       1.842546431433e+03 
       4.844367877928e-04       1.962588315452e+03 
       5.174729675357e-04       2.090267390562e+03 
       5.528022850445e-04       2.226213515396e+03 
       5.906202956399e-04       2.371064724665e+03 
       6.311265710626e-04       2.525453967292e+03 
       6.745206683442e-04       2.689990860415e+03 
       7.209971103224e-04       2.865240989531e+03 
       7.707394878207e-04       3.051701786676e+03 
       8.239139346093e-04       3.249777254378e+03 
       8.806623778547e-04       3.459752575316e+03 
       9.410960991812e-04       3.681771178044e+03 
       1.005290218013e-03       3.915816771373e+03 
       1.073279695928e-03       4.161702366376e+03 
       1.145057340980e-03       4.419067731915e+03 
       1.220574073919e-03       4.687387023434e+03 
       1.299741442822e-03       4.965985170249e+03 
       1.382436096907e-03       5.254038887760e+03 
       1.468505713556e-03       5.550653929576e+03 
       1.557775755478e-03       5.854882999961e+03 
       1.650056428656e-03       6.165728101619e+03 
       1.745149298677e-03       6.482183083454e+03 
       1.842853167463e-03       6.803259952497e+03 
       1.942968974962e-03       7.128006071655e+03 
       2.045303638966e-03       7.455518746944e+03 
       2.149672861949e-03       7.784956904461e+03 
       2.255903010427e-03       8.115544404805e+03 
       2.363832212752e-03       8.446574535498e+03 
       2.473310833411e-03       8.777407918456e+03 
       2.584201474924e-03       9.107472720619e+03 
       2.696378640517e-03       9.436259314415e+03 
       2.809728168191e-03       9.763315655247e+03 
       2.924146523757e-03       1.008824597442e+04 
       3.039540019309e-03       1.041070169325e+04 
       3.155824005636e-03       1.073038042322e+04 
       3.272922072457e-03       1.104701819486e+04 
       3.390765279028e-03       1.136038850217e+04 
       3.509291429082e-03       1.167029448155e+04 
       3.628444397824e-03       1.197657032351e+04 
       3.748173514284e-03       1.227907207000e+04 
       3.868432999290e-03       1.257768149859e+04 
       3.989181457354e-03       1.287229782470e+04 
       4.110381419539e-03       1.316283976157e+04 
       4.231998933693e-03       1.344923649658e+04 
       4.354003198121e-03       1.373143600337e+04 
       4.476366234723e-03       1.400940035571e+04 
       4.599062597716e-03       1.428309463837e+04 
       4.722069114272e-03       1.455248898678e+04 
       4.845364653670e-03       1.481756686124e+04 
       4.968929921827e-03       1.507834435420e+04 
       5.092747278392e-03       1.533485244323e+04 
       5.216800573842e-03       1.558701365354e+04 
       5.341075004315e-03       1.583484565171e+04 
       5.465556982139e-03       1.607846285393e+04 
       5.590234020274e-03       1.631773261604e+04 
       5.715094629060e-03       1.655284102671e+04 
       5.840128223865e-03       1.678370575337e+04 
       5.965325042403e-03       1.701035891505e+04 
       6.090676070607e-03       1.723280517127e+04 
       6.216172976111e-03       1.745116464754e+04 
       6.341808048477e-03       1.766538463019e+04 
       6.467574145417e-03       1.787555023888e+04 
       6.593464644361e-03       1.808164381307e+04 
       6.719473398766e-03       1.828376501673e+04 
       6.845594698678e-03       1.848191366513e+04 
       6.971823235067e-03       1.867613021585e+04 
       7.098154067544e-03       1.886643203215e+04 
       7.224582595110e-03       1.905290755678e+04 
       7.351104529606e-03       1.923554619455e+04 
       7.477715871606e-03       1.941440986944e+04 
       7.604412888474e-03       1.958953653571e+04 
       7.731192094407e-03       1.976095583821e+04 
       7.858050232222e-03       1.992872527111e+04 
       7.984984256749e-03       2.009287223580e+04 
       8.111991319654e-03       2.025342525192e+04 
       8.239068755565e-03       2.041043728363e+04 
       8.366214069361e-03       2.056394481107e+04 
       8.493424924538e-03       2.071400867865e+04 
       8.620699132523e-03       2.086063791203e+04 
       8.748034642876e-03       2.100388048644e+04 
       8.875429534275e-03       2.114376156261e+04 
       9.002882006229e-03       2.128036371470e+04 
       9.130390371449e-03       2.141368423924e+04 
       9.257953048816e-03       2.154376845601e+04 
       9.385568556898e-03       2.167065857432e+04 
       9.513235507969e-03       2.179438795264e+04 
       9.640952602478e-03       2.191499573799e+04 
       9.768718623943e-03       2.203251806546e+04 
       9.896532434228e-03       2.214698886650e+04 
       1.002439296917e-02       2.225842057787e+04 
       1.015229923452e-02       2.236691226345e+04 
       1.028025030222e-02       2.247243266447e+04 
       1.040824530688e-02       2.257504570968e+04 
       1.053628344258e-02       2.267477944185e+04 
       1.066436395988e-02       2.277167170971e+04 
       1.079248616300e-02       2.286575017215e+04 
       1.092064940728e-02       2.295705366872e+04 
       1.104885309675e-02       2.304560936504e+04 
       1.117709668192e-02       2.313145415962e+04 
       1.130537965768e-02       2.321462464385e+04 
       1.143370156138e-02       2.329513988140e+04 
       1.156206197106e-02       2.337303841502e+04 
       1.169046050372e-02       2.344835299094e+04 
       1.181889681383e-02       2.352111827991e+04 
       1.194737059186e-02       2.359135002491e+04 
       1.207588156293e-02       2.365909599809e+04 
       1.220442948556e-02       2.372437078958e+04 
       1.233301415052e-02       2.378721528679e+04 
       1.246163537974e-02       2.384766875087e+04 
       1.259029302532e-02       2.390573676834e+04 
       1.271898696859e-02       2.396146446859e+04 
       1.284771711924e-02       2.401487568679e+04 
       1.297648341454e-02       2.406600463350e+04 
       1.310528581860e-02       2.411487405848e+04 
       1.323412432165e-02       2.416150838299e+04 
       1.336299893946e-02       2.420593530261e+04 
       1.349190971271e-02       2.424819737567e+04 
       1.362085670649e-02       2.428830148359e+04 
       1.374984000980e-02       2.432628162515e+04 
       1.387885973511e-02       2.436216377185e+04 
       1.400791601791e-02       2.439597791928e+04 
       1.413700901641e-02       2.442775396909e+04 
       1.426613891112e-02       2.445750265733e+04 
       1.439530590464e-02       2.448527364457e+04 
       1.452451022130e-02       2.451107332372e+04 
       1.465375210700e-02       2.453492983080e+04 
       1.478303182896e-02       2.455686944309e+04 
       1.491234967554e-02       2.457691256119e+04 
       1.504170595609e-02       2.459509877590e+04 
       1.517110100085e-02       2.461144081081e+04 
       1.530053516081e-02       2.462596410743e+04 
       1.543000880765e-02       2.463868941239e+04 
       1.555952233369e-02       2.464964450291e+04 
       1.568907615184e-02       2.465886667089e+04 
       1.581867069560e-02       2.466635984736e+04 
       1.594830641909e-02       2.467214904185e+04 
       1.607798379704e-02       2.467626447988e+04 
       1.620770332488e-02       2.467872642156e+04 
       1.633746551876e-02       2.467956014726e+04 
       1.646727091572e-02       2.467878930431e+04 
       1.659712007371e-02       2.467642595586e+04 
       1.672701357178e-02       2.467250429754e+04 
       1.685695201018e-02       2.466702413363e+04 
       1.698693601055e-02       2.466004891194e+04 
       1.711696621611e-02       2.465156112673e+04 
       1.724704329180e-02       2.464160339800e+04 
       1.737716792455e-02       2.463019824378e+04 
       1.750734082350e-02       2.461734274968e+04 
       1.763756272022e-02       2.460308327034e+04 
       1.776783436898e-02       2.458742166212e+04 
       1.789815654707e-02       2.457039256400e+04 
       1.802853005505e-02       2.455202988757e+04 
       1.815895571707e-02       2.453230933735e+04 
       1.828943438124e-02       2.451129249884e+04 
       1.841996691992e-02       2.448898518284e+04 
       1.855055423012e-02       2.446539697121e+04 
       1.868119723386e-02       2.444056261585e+04 
       1.881189687860e-02       2.441453281841e+04 
       1.894265413762e-02       2.438724850028e+04 
